,,,,,,
,,,,,,
,Topic,Sub-Topic,Response,Source,URL,Image
,What Should My Students be Reading?,Literary and Information Texts,"Students should be reading a balance of Literary and Informational texts.  Based upon the NAEP model, in K-5, the Standards follow NAEP’s lead in balancing the reading of literature with the reading of informational texts, including texts in history/social studies, science, and technical subjects. In accord with NAEP’s growing emphasis on informational texts in the higher grades, the Standards demand that a significant amount of reading of informational texts take place in and outside the ELA classroom. Fulfilling the Standards for 6-12 ELA requires much greater attention to a specific category of informational text—literary nonfiction—than has been traditional. ",Core Standards,http://www.corestandards.org/,
,What Should My Students be Reading?,Texts of Sufficient Complexity,"CCR requires that students must be able to comprehend texts of steadily increasing complexity as they progress through school. By the time they complete the core, students must be able to read and comprehend independently and proficiently the kinds of complex texts commonly found in college and careers.",Core Standards,http://www.corestandards.org/,
,What Should My Students be Reading?,Text Complexity:  A Three Part model,"Text complexity consists of three equally important parts. 

(1) Qualitative Dimensions of Text Complexity:   Qualitative dimensions and qualitative factors refer to those aspects of text complexity best measured or only measurable by an attentive human reader, such as levels of meaning or purpose; structure; language conventionality and clarity; and knowledge demands. 

(2) Quantitative Dimensions of Text Complexity:  The terms quantitative dimensions and quantitative factors refer to those aspects of text complexity, such as word length or frequency, sentence length, and text cohesion, that are difficult if not impossible for a human reader to evaluate efficiently, especially in long texts, and are thus today typically measured by computer software. 

(3) Reader and Task Consideration:  While the prior two elements of the model focus on the inherent complexity of text, variables specific to particular readers (such as motivation, knowledge, and experiences) and to particular tasks (such as purpose and the complexity of the task assigned and the questions posed) must also be considered when determining whether a text is appropriate for a given student. Such assessments are best made by teachers employing their professional judgment, experience, and knowledge of their students and the subject.",Core Standards,http://www.corestandards.org/,
,What Should My Students be Reading?,Text Complexity: Quantitative Measures,"Quantitative measures should identify the college- and career-ready reading level as one endpoint of the scale. MetaMetrics, for example, has realigned its Lexile ranges to match the Standards’ text complexity grade bands and has adjusted upward its trajectory of reading comprehension development through the grades to indicate that all students should be reading at the college and career readiness level by no later than the end of high school. 

Note: While quantitative measures of complexity are deemed important, the recent trend has been to view qualitative measures as more important in defining overall text complexity",Core Standards,http://www.corestandards.org/,
,What Literacy Skills do My Students Need to Master?,Early Grades,"For students in grade K - 5 the focus is on mastery of Foundation Skills.  These skills include understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system.",Core Standards,http://www.corestandards.org/,
,What Literacy Skills do My Students Need to Master?,Middle-Upper Grade Levels,"Beginning in grade 6, the literacy standards allow teachers of ELA, history/social studies, science, and technical subjects to use their content area expertise to help students meet the particular challenges of reading, writing, speaking, listening, and language in their respective fields.",Core Standards,http://www.corestandards.org/,
,What Should My Students be Writing?,Types of Compositions,"Student writing needs to balance between the focus of the composition.  Based upon the NAEP framework, writing must cultivate the development of three mutually reinforcing writing capacities: writing to persuade, to explain, and to convey real or imagined experience. ",Core Standards,http://www.corestandards.org/,
,How Does the Mastery of Literary Skills Progress?,Anchor Standards:  An Overview,"The CCR standards anchor the document and define general, cross-disciplinary literacy expectations that must be met for students to be prepared to enter college and workforce training programs ready to succeed.   Students advancing through the grades are expected to meet each year’s grade-specific standards, retain or further develop skills and understandings mastered in preceding grades, and work steadily toward meeting the more general expectations.",Core Standards,http://www.corestandards.org/,
,How Does the Mastery of Literary Skills Progress?,Anchor Standards:  Reading,"To build a foundation for college and career readiness, students must read widely and deeply from among a broad range of high-quality, increasingly challenging literary and informational texts. Through extensive reading of stories, dramas, poems, and myths from diverse cultures and different time periods, students gain literary and cultural knowledge as well as familiarity with various text structures and elements. By reading texts in history/social studies, science, and other disciplines, students build a foundation of knowledge in these fields that will also give them the background to be better readers in all content areas. Students can only gain this foundation when the curriculum is intentionally and coherently structured to develop rich content knowledge within and across grades. Students also acquire the habits of reading independently and closely, which are essential to their future success.

The key strands that anchor Reading skills across grade level include:  (a) Key Ideas and Details; (b) Craft and Structure; (c) Integration of Knowledge and Ideas; and (d) Range of Reading and Level of Text Complexity",Core Standards,http://www.corestandards.org/,
,How Does the Mastery of Literary Skills Progress?,Anchor Standards:  Writing,"To build a foundation for college and career readiness, students need to learn to use writing as a way of offering and supporting opinions, demonstrating understanding of the subjects they are studying, and conveying real and imagined experiences and events. They learn to appreciate that a key purpose of writing is to communicate clearly to an external, sometimes unfamiliar audience, and they begin to adapt the form and content of their writing to accomplish a particular task and purpose. They develop the capacity to build knowledge on a subject through research projects and to respond analytically to literary and informational sources. To meet these goals, students must devote significant time and effort to writing, producing numerous pieces over short and extended time frames throughout the year.

The key strands that anchor Writing skills across grade level include:  (a) Text Types and Purposes; (b) Production and Distribution of Writing; (c)  Research to Build and Present Knowledge; and (d) Range of Writing",Core Standards,http://www.corestandards.org/,
